Sat Dec  8 10:44:46 2012    dbscan-9375.profile

         3325826313 function calls (3146135898 primitive calls) in 14862.432 seconds

   Ordered by: file name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/arrayprint.py:540(ComplexFormat)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/defchararray.py:1695(chararray)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/defchararray.py:17(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/fromnumeric.py:2(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/fromnumeric.py:871(squeeze)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/fromnumeric.py:445(transpose)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/function_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/getlimits.py:22(finfo)
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/getlimits.py:234(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/getlimits.py:2(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/getlimits.py:184(iinfo)
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/getlimits.py:259(max)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/info.py:83(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/machar.py:4(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/machar.py:15(MachAr)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/memmap.py:20(memmap)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/memmap.py:1(<module>)
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/numeric.py:1381(set_string_function)
        3    0.001    0.000    0.001    0.000 /usr/lib/python2.7/dist-packages/numpy/core/numeric.py:122(extend_all)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/numeric.py:2333(_unspecified)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/dist-packages/numpy/core/numeric.py:2337(errstate)
